Date;Team;Rank;Score;
20-5-1998;Brazil;1;71;
20-5-1998;Germany;2;64;
20-5-1998;Czech Republic;3;64;
20-5-1998;Mexico;4;61;
20-5-1998;England;5;60;
20-5-1998;Argentina;6;60;
20-5-1998;Norway;7;59;
20-5-1998;Yugoslavia;8;59;
20-5-1998;Chile;9;58;
20-5-1998;Colombia;10;58;
20-5-1998;USA;11;58;
20-5-1998;Japan;12;57;
20-5-1998;Morocco;13;57;
20-5-1998;Italy;14;56;
20-5-1998;Spain;15;56;
20-5-1998;Russia;16;56;
20-5-1998;Egypt;17;56;
20-5-1998;France;18;56;
20-5-1998;Croatia;19;55;
20-5-1998;Korea Republic;20;55;
20-5-1998;Tunisia;21;55;
20-5-1998;Romania;22;54;
20-5-1998;Zambia;23;54;
20-5-1998;South Africa;24;54;
20-5-1998;Netherlands;25;54;
20-5-1998;Ecuador;26;53;
20-5-1998;Denmark;27;52;
20-5-1998;Sweden;28;52;
20-5-1998;Paraguay;29;52;
20-5-1998;Jamaica;30;52;
20-5-1998;Austria;31;51;
20-5-1998;Australia;32;51;
20-5-1998;Bolivia;33;51;
20-5-1998;Saudi Arabia;34;50;
20-5-1998;Bulgaria;35;50;
20-5-1998;Belgium;36;50;
20-5-1998;Peru;37;50;
20-5-1998;Uruguay;38;50;
20-5-1998;Portugal;39;49;
20-5-1998;Slovakia;40;49;
20-5-1998;Scotland;41;48;
20-5-1998;Iran;42;47;
20-5-1998;Kuwait;43;46;
20-5-1998;Cote d'Ivoire;44;46;
20-5-1998;Lithuania;45;46;
20-5-1998;Republic of Ireland;46;46;
20-5-1998;Israel;47;45;
20-5-1998;Trinidad and Tobago;48;45;
20-5-1998;Cameroon;49;45;
20-5-1998;Thailand;50;45;
20-5-1998;China PR;51;45;
20-5-1998;Georgia;52;45;
20-5-1998;Turkey;53;44;
20-5-1998;Poland;54;44;
20-5-1998;Greece;55;44;
20-5-1998;Angola;56;43;
20-5-1998;Algeria;57;43;
20-5-1998;Costa Rica;58;43;
20-5-1998;United Arab Emirates;59;42;
20-5-1998;Guinea;60;42;
20-5-1998;Finland;61;42;
20-5-1998;Hungary;62;41;
20-5-1998;Zaire;63;40;
20-5-1998;Ukraine;64;40;
20-5-1998;Ghana;65;40;
20-5-1998;Mali;66;39;
20-5-1998;Burkina Faso;67;39;
20-5-1998;El Salvador;68;38;
20-5-1998;Mozambique;69;38;
20-5-1998;Qatar;70;38;
20-5-1998;FYR Macedonia;71;37;
20-5-1998;Iceland;72;37;
20-5-1998;Togo;73;37;
20-5-1998;Nigeria;74;36;
20-5-1998;Guatemala;75;36;
20-5-1998;Namibia;76;36;
20-5-1998;Canada;77;36;
20-5-1998;Senegal;78;36;
20-5-1998;Gabon;79;35;
20-5-1998;Uzbekistan;80;35;
20-5-1998;Switzerland;81;35;
20-5-1998;Latvia;82;35;
20-5-1998;Cyprus;83;35;
20-5-1998;Zimbabwe;84;35;
20-5-1998;Iraq;85;33;
20-5-1998;Honduras;86;33;
20-5-1998;Oman;87;33;
20-5-1998;Cuba;88;33;
20-5-1998;Indonesia;89;33;
20-5-1998;Northern Ireland;90;33;
20-5-1998;Sierra Leone;91;32;
20-5-1998;Syria;92;31;
20-5-1998;Kenya;93;30;
20-5-1998;Slovenia;94;30;
20-5-1998;Tanzania;95;30;
20-5-1998;Lebanon;96;30;
20-5-1998;Malawi;97;29;
20-5-1998;Liberia;98;29;
20-5-1998;Malaysia;99;28;
20-5-1998;Vietnam;100;28;
20-5-1998;Albania;101;28;
20-5-1998;Bosnia-Herzegovina;102;28;
20-5-1998;Wales;103;28;
20-5-1998;Estonia;104;28;
20-5-1998;Grenada;105;27;
20-5-1998;Singapore;106;27;
20-5-1998;Kazakhstan;107;26;
20-5-1998;Barbados;108;25;
20-5-1998;Congo;109;25;
20-5-1998;Haiti;110;25;
20-5-1998;Armenia;111;25;
20-5-1998;Belarus;112;24;
20-5-1998;Sudan;113;24;
20-5-1998;Venezuela;114;24;
20-5-1998;India;115;24;
20-5-1998;Uganda;116;24;
20-5-1998;New Zealand;117;23;
20-5-1998;Myanmar;118;22;
20-5-1998;Tajikistan;119;22;
20-5-1998;Gambia;120;22;
20-5-1998;Faroe Islands;121;22;
20-5-1998;St. Kitts and Nevis;122;21;
20-5-1998;Azerbaijan;123;21;
20-5-1998;Malta;124;20;
20-5-1998;Jordan;125;20;
20-5-1998;St. Vincent and the Grenadines;126;20;
20-5-1998;Panama;127;19;
20-5-1998;Mauritania;128;19;
20-5-1998;Sri Lanka;129;19;
20-5-1998;Dominica;130;17;
20-5-1998;Ethiopia;131;17;
20-5-1998;Benin;132;16;
20-5-1998;St. Lucia;133;16;
20-5-1998;Bahrain;134;16;
20-5-1998;Yemen;135;16;
20-5-1998;Lesotho;136;16;
20-5-1998;Solomon Islands;137;16;
20-5-1998;Moldova;138;16;
20-5-1998;Hong Kong;139;15;
20-5-1998;Turkmenistan;140;15;
20-5-1998;Kyrgyzstan;141;15;
20-5-1998;Dominican Republic;142;14;
20-5-1998;Luxembourg;143;14;
20-5-1998;Antigua and Barbuda;144;13;
20-5-1998;Laos;145;13;
20-5-1998;Suriname;146;13;
20-5-1998;Swaziland;147;12;
20-5-1998;Libya;148;12;
20-5-1998;Bangladesh;149;11;
20-5-1998;Netherlands Antilles;150;11;
20-5-1998;Fiji;151;11;
20-5-1998;Guinea-Bissau;152;10;
20-5-1998;Guyana;153;10;
20-5-1998;Botswana;154;9;
20-5-1998;Niger;155;9;
20-5-1998;Pakistan;156;9;
20-5-1998;Mauritius;157;9;
20-5-1998;Burundi;158;8;
20-5-1998;Cambodia;159;7;
20-5-1998;Maldives;160;7;
20-5-1998;Macau;161;7;
20-5-1998;Chinese Taipei;162;7;
20-5-1998;Tahiti;163;7;
20-5-1998;Cape Verde Islands;164;7;
20-5-1998;Liechtenstein;165;7;
20-5-1998;Nepal;166;6;
20-5-1998;Cayman Islands;167;6;
20-5-1998;Papua New Guinea;168;6;
20-5-1998;Madagascar;169;6;
20-5-1998;Korea DPR;170;5;
20-5-1998;Puerto Rico;171;5;
20-5-1998;Rwanda;172;4;
20-5-1998;Aruba;173;4;
20-5-1998;Philippines;174;4;
20-5-1998;Tonga;175;4;
20-5-1998;San Marino;176;3;
20-5-1998;Brunei Darussalam;177;3;
20-5-1998;Belize;178;2;
20-5-1998;British Virgin Islands;179;2;
20-5-1998;Seychelles;180;2;
20-5-1998;Samoa;181;2;
20-5-1998;Chad;182;2;
20-5-1998;Bermuda;183;2;
20-5-1998;Nicaragua;184;1;
20-5-1998;Andorra;185;1;
20-5-1998;Vanuatu;186;1;
20-5-1998;Somalia;187;1;
20-5-1998;Central African Republic;188;0;
20-5-1998;Djibouti;189;0;
20-5-1998;Anguilla;190;0;
20-5-1998;Cook Islands;191;0;
20-5-1998;Guam;192;0;
15-5-2002;France;1;802;
15-5-2002;Brazil;2;784;
15-5-2002;Argentina;3;784;
15-5-2002;Colombia;4;728;
15-5-2002;Portugal;5;726;
15-5-2002;Italy;6;717;
15-5-2002;Mexico;7;716;
15-5-2002;Spain;8;713;
15-5-2002;Netherlands;9;703;
15-5-2002;Yugoslavia;10;702;
15-5-2002;Germany;11;695;
15-5-2002;England;12;694;
15-5-2002;USA;13;690;
15-5-2002;Romania;14;675;
15-5-2002;Republic of Ireland;15;674;
15-5-2002;Czech Republic;16;674;
15-5-2002;Cameroon;17;672;
15-5-2002;Paraguay;18;671;
15-5-2002;Sweden;19;665;
15-5-2002;Denmark;20;657;
15-5-2002;Croatia;21;655;
15-5-2002;Turkey;22;654;
15-5-2002;Belgium;23;653;
15-5-2002;Uruguay;24;652;
15-5-2002;Slovenia;25;649;
15-5-2002;Honduras;26;647;
15-5-2002;Nigeria;27;644;
