Team 1;Team 2;DP_team1;DP_team2;year
Brazil;Croatia;3;1;2014
Mexico;Cameroon;1;0;2014
Spain;Netherlands;1;5;2014
Chile;Australia;3;1;2014
Colombia;Greece;3;0;2014
Uruguay;Costa Rica;1;3;2014
England;Italy;1;2;2014
Cote d'Ivoire;Japan;2;1;2014
Switzerland;Ecuador;2;1;2014
France;Honduras;3;0;2014
Argentinia;Bosnia and Herzegovina;2;1;2014
Germany;Portugal ;4;0;2014
Iran;Nigeria;0;0;2014
Ghana;Usa;1;2;2014
Belgium ;Algeria;2;1;2014
Brazil;Mexico;0;0;2014
Russia;Korea;1;1;2014
Australia;Netherlands;2;3;2014
Spain;Chile;0;2;2014
Cameroon;Croatia;0;4;2014
Colombia;Cote d'Ivore;2;1;2014
Uruguay;England;2;1;2014
Japan;Greece;0;0;2014
Italy;Costa Rica;0;1;2014
Switzerland;France;2;5;2014
Honduras;Ecuador;1;2;2014
Argentinia;Iran;1;0;2014
Germany;Ghana;2;2;2014
Nigeria;Bosnia and Herzegovina;1;0;2014
Belgium ;Russia;1;0;2014
Korea;Algeria;2;4;2014
Usa;Portugal ;2;2;2014
Australia;Spain;0;3;2014
Netherlands;Chile;2;0;2014
Cameroon;Brazil;1;4;2014
Croatia;Mexico;1;3;2014
Italy;Uruguay;0;1;2014
Costa Rica;England;0;0;2014
Japan;Colombia;1;4;2014
Greece;Cote d'Ivore;2;1;2014
Nigeria;Argentina;2;3;2014
Bosnia and Herzegovina;Iran;3;1;2014
Honduras;Switzerland;0;3;2014
Ecuador;France;0;0;2014
Usa;Germany;0;1;2014
Portugal;Ghana;2;1;2014
Korea;Belgium;0;1;2014
Algeria;Russia;1;1;2014
Brazil;Chile;1;1;2014
Colombia;Uruguay;2;0;2014
Netherlands;Mexico;2;1;2014
Costa Rica;Greece;1;1;2014
France;Nigeria;2;0;2014
Germany;Algeria;2;1;2014
Argentinia;Switzerland;1;0;2014
Belgium ;Usa;2;1;2014
France;Germany;0;1;2014
Brazil;Colombia;2;1;2014
Argentinia;Belgium;1;0;2014
Netherlands;Costa Rica;0;0;2014
Brazil;Germany;1;7;2014
Netherlands;Argentina;0;0;2014
Brazil;Netherlands;0;3;2014
Germany;Argentina;1;0;2014
South Africa;Mexico;1;1;2010
Uruguay;France;0;0;2010
Korea;Greece;2;0;2010
Argentina;Nigeria;1;0;2010
England;Usa;1;1;2010
Algeria;Slovenia;0;1;2010
Serbia;Ghana;0;1;2010
Germany;Australia;4;0;2010
Netherlands;Denmark;2;0;2010
Japan;Cameroon;1;0;2010
Italy;Paraguay;1;1;2010
New Zealand;Slovakia;1;1;2010
